"","A","B","C","D","similarity","regroup"
"1",NA,"B_3","C_7",NA,0.99,1
"2","A_9;A_5",NA,NA,NA,0.96,2
"3","A_6",NA,NA,"D_4",0.93,3
"4",NA,NA,"C_6;C_5",NA,0.84,4
"5","A_4","B_1","C_9;C_8",NA,0.8,5
"6",NA,"B_4","C_4",NA,0.72,6
"7","A_1","B_9;B_10;B_8",NA,"D_5;D_10;D_3",0.61,7
"8","A_10","B_5",NA,"D_9",0.6,8
"9",NA,"B_2","C_10","D_6;D_1;D_7;D_2",0.51,9
"10","A_8","B_6","C_3;C_1",NA,0.43,10
"11","A_7",NA,NA,NA,NA,11
"12",NA,NA,NA,"D_8",NA,12
"13","A_2",NA,NA,NA,NA,13
"14","A_3",NA,NA,NA,NA,14
"15",NA,NA,"C_2",NA,NA,15
"16",NA,"B_7",NA,NA,NA,16
